FromTime,ToTime,AverageSpeed,NumberOfVehicle,Date,Day
19:10,19:15:00,15.77,10,2023-02-06,Monday
19:05,19:10:00,2.42,3,2023-02-06,Monday
19:00,19:05:00,14.55,9,2023-02-06,Monday
18:55,19:00:00,21.24,7,2023-02-06,Monday
18:50,18:55:00,11.24,7,2023-02-06,Monday
18:45,18:50:00,14.8,11,2023-02-06,Monday
18:40,18:45:00,11.14,8,2023-02-06,Monday
18:35,18:40:00,20.63,5,2023-02-06,Monday
18:30,18:35:00,23.21,8,2023-02-06,Monday
18:25,18:30:00,12.54,4,2023-02-06,Monday
18:20,18:25:00,13.45,4,2023-02-06,Monday
18:15,18:20:00,10.9,9,2023-02-06,Monday
18:10,18:15:00,15.94,6,2023-02-06,Monday
18:05,18:10:00,25.19,10,2023-02-06,Monday
18:00,18:05:00,19.24,6,2023-02-06,Monday
17:55,18:00:00,13.74,6,2023-02-06,Monday
